最小支持度 0.0010
最小支持個數 0
[C07,A09] 支持個數:0 支持度:0.0000
[C07,A10] 支持個數:0 支持度:0.0000
[C07,A11] 支持個數:4 支持度:0.0189
[C07,A12] 支持個數:10 支持度:0.0472
[C07,A13] 支持個數:3 支持度:0.0142
[C07,A14] 支持個數:3 支持度:0.0142
[C07,A15] 支持個數:0 支持度:0.0000
[C07,A16] 支持個數:0 支持度:0.0000
[C11,A09] 支持個數:0 支持度:0.0000
[C11,A10] 支持個數:0 支持度:0.0000
[C11,A11] 支持個數:1 支持度:0.0047
[C11,A12] 支持個數:1 支持度:0.0047
[C11,A13] 支持個數:0 支持度:0.0000
[C11,A14] 支持個數:0 支持度:0.0000
[C11,A15] 支持個數:0 支持度:0.0000
[C11,A16] 支持個數:0 支持度:0.0000
[C12,A09] 支持個數:0 支持度:0.0000
[C12,A10] 支持個數:0 支持度:0.0000
[C12,A11] 支持個數:1 支持度:0.0047
[C12,A12] 支持個數:3 支持度:0.0142
[C12,A13] 支持個數:2 支持度:0.0094
[C12,A14] 支持個數:1 支持度:0.0047
[C12,A15] 支持個數:0 支持度:0.0000
[C12,A16] 支持個數:0 支持度:0.0000
[C31,A09] 支持個數:1 支持度:0.0047
[C31,A10] 支持個數:2 支持度:0.0094
[C31,A11] 支持個數:1 支持度:0.0047
[C31,A12] 支持個數:16 支持度:0.0755
[C31,A13] 支持個數:15 支持度:0.0708
[C31,A14] 支持個數:6 支持度:0.0283
[C31,A15] 支持個數:1 支持度:0.0047
[C31,A16] 支持個數:1 支持度:0.0047
[C32,A09] 支持個數:0 支持度:0.0000
[C32,A10] 支持個數:0 支持度:0.0000
[C32,A11] 支持個數:1 支持度:0.0047
[C32,A12] 支持個數:7 支持度:0.0330
[C32,A13] 支持個數:17 支持度:0.0802
[C32,A14] 支持個數:6 支持度:0.0283
[C32,A15] 支持個數:0 支持度:0.0000
[C32,A16] 支持個數:0 支持度:0.0000
[C33,A09] 支持個數:0 支持度:0.0000
[C33,A10] 支持個數:0 支持度:0.0000
[C33,A11] 支持個數:1 支持度:0.0047
[C33,A12] 支持個數:5 支持度:0.0236
[C33,A13] 支持個數:1 支持度:0.0047
[C33,A14] 支持個數:0 支持度:0.0000
[C33,A15] 支持個數:0 支持度:0.0000
[C33,A16] 支持個數:0 支持度:0.0000
[C34,A09] 支持個數:0 支持度:0.0000
[C34,A10] 支持個數:0 支持度:0.0000
[C34,A11] 支持個數:1 支持度:0.0047
[C34,A12] 支持個數:0 支持度:0.0000
[C34,A13] 支持個數:1 支持度:0.0047
[C34,A14] 支持個數:0 支持度:0.0000
[C34,A15] 支持個數:0 支持度:0.0000
[C34,A16] 支持個數:0 支持度:0.0000
[C35,A09] 支持個數:0 支持度:0.0000
[C35,A10] 支持個數:0 支持度:0.0000
[C35,A11] 支持個數:2 支持度:0.0094
[C35,A12] 支持個數:0 支持度:0.0000
[C35,A13] 支持個數:2 支持度:0.0094
[C35,A14] 支持個數:2 支持度:0.0094
[C35,A15] 支持個數:1 支持度:0.0047
[C35,A16] 支持個數:0 支持度:0.0000
[C37,A09] 支持個數:0 支持度:0.0000
[C37,A10] 支持個數:0 支持度:0.0000
[C37,A11] 支持個數:3 支持度:0.0142
[C37,A12] 支持個數:8 支持度:0.0377
[C37,A13] 支持個數:3 支持度:0.0142
[C37,A14] 支持個數:3 支持度:0.0142
[C37,A15] 支持個數:0 支持度:0.0000
[C37,A16] 支持個數:0 支持度:0.0000
[C38,A09] 支持個數:0 支持度:0.0000
[C38,A10] 支持個數:2 支持度:0.0094
[C38,A11] 支持個數:1 支持度:0.0047
[C38,A12] 支持個數:1 支持度:0.0047
[C38,A13] 支持個數:1 支持度:0.0047
[C38,A14] 支持個數:0 支持度:0.0000
[C38,A15] 支持個數:0 支持度:0.0000
[C38,A16] 支持個數:0 支持度:0.0000
[C39,A09] 支持個數:0 支持度:0.0000
[C39,A10] 支持個數:0 支持度:0.0000
[C39,A11] 支持個數:1 支持度:0.0047
[C39,A12] 支持個數:0 支持度:0.0000
[C39,A13] 支持個數:1 支持度:0.0047
[C39,A14] 支持個數:1 支持度:0.0047
[C39,A15] 支持個數:0 支持度:0.0000
[C39,A16] 支持個數:0 支持度:0.0000
[C40,A09] 支持個數:0 支持度:0.0000
[C40,A10] 支持個數:0 支持度:0.0000
[C40,A11] 支持個數:0 支持度:0.0000
[C40,A12] 支持個數:2 支持度:0.0094
[C40,A13] 支持個數:0 支持度:0.0000
[C40,A14] 支持個數:0 支持度:0.0000
[C40,A15] 支持個數:0 支持度:0.0000
[C40,A16] 支持個數:0 支持度:0.0000
[C43,A09] 支持個數:0 支持度:0.0000
[C43,A10] 支持個數:1 支持度:0.0047
[C43,A11] 支持個數:1 支持度:0.0047
[C43,A12] 支持個數:2 支持度:0.0094
[C43,A13] 支持個數:3 支持度:0.0142
[C43,A14] 支持個數:2 支持度:0.0094
[C43,A15] 支持個數:0 支持度:0.0000
[C43,A16] 支持個數:0 支持度:0.0000
[C44,A09] 支持個數:0 支持度:0.0000
[C44,A10] 支持個數:0 支持度:0.0000
[C44,A11] 支持個數:0 支持度:0.0000
[C44,A12] 支持個數:0 支持度:0.0000
[C44,A13] 支持個數:1 支持度:0.0047
[C44,A14] 支持個數:0 支持度:0.0000
[C44,A15] 支持個數:0 支持度:0.0000
[C44,A16] 支持個數:0 支持度:0.0000
[C45,A09] 支持個數:0 支持度:0.0000
[C45,A10] 支持個數:0 支持度:0.0000
[C45,A11] 支持個數:0 支持度:0.0000
[C45,A12] 支持個數:0 支持度:0.0000
[C45,A13] 支持個數:3 支持度:0.0142
[C45,A14] 支持個數:0 支持度:0.0000
[C45,A15] 支持個數:0 支持度:0.0000
[C45,A16] 支持個數:0 支持度:0.0000
[C46,A09] 支持個數:0 支持度:0.0000
[C46,A10] 支持個數:0 支持度:0.0000
[C46,A11] 支持個數:0 支持度:0.0000
[C46,A12] 支持個數:1 支持度:0.0047
[C46,A13] 支持個數:0 支持度:0.0000
[C46,A14] 支持個數:0 支持度:0.0000
[C46,A15] 支持個數:1 支持度:0.0047
[C46,A16] 支持個數:0 支持度:0.0000
[S2,A09] 支持個數:1 支持度:0.0047
[S2,A10] 支持個數:5 支持度:0.0236
[S2,A11] 支持個數:24 支持度:0.1132
[S2,A12] 支持個數:74 支持度:0.3491
[S2,A13] 支持個數:67 支持度:0.3160
[S2,A14] 支持個數:37 支持度:0.1745
[S2,A15] 支持個數:3 支持度:0.0142
[S2,A16] 支持個數:1 支持度:0.0047
[C01, S2, A09], 支持個數為0 支持度:0.0000
[C01, S2, A10], 支持個數為0 支持度:0.0000
[C01, S2, A11], 支持個數為2 支持度:0.0094
[C01, S2, A12], 支持個數為6 支持度:0.0283
[C01, S2, A13], 支持個數為7 支持度:0.0330
[C01, S2, A14], 支持個數為1 支持度:0.0047
[C01, S2, A15], 支持個數為0 支持度:0.0000
[C01, S2, A16], 支持個數為0 支持度:0.0000
[C03, S2, A09], 支持個數為0 支持度:0.0000
[C03, S2, A10], 支持個數為0 支持度:0.0000
[C03, S2, A11], 支持個數為2 支持度:0.0094
[C03, S2, A12], 支持個數為8 支持度:0.0377
[C03, S2, A13], 支持個數為4 支持度:0.0189
[C03, S2, A14], 支持個數為8 支持度:0.0377
[C03, S2, A15], 支持個數為0 支持度:0.0000
[C03, S2, A16], 支持個數為0 支持度:0.0000
[C05, S2, A09], 支持個數為0 支持度:0.0000
[C05, S2, A10], 支持個數為0 支持度:0.0000
[C05, S2, A11], 支持個數為2 支持度:0.0094
[C05, S2, A12], 支持個數為4 支持度:0.0189
[C05, S2, A13], 支持個數為3 支持度:0.0142
[C05, S2, A14], 支持個數為4 支持度:0.0189
[C05, S2, A15], 支持個數為0 支持度:0.0000
[C05, S2, A16], 支持個數為0 支持度:0.0000
[C07, S2, A09], 支持個數為0 支持度:0.0000
[C07, S2, A10], 支持個數為0 支持度:0.0000
[C07, S2, A11], 支持個數為4 支持度:0.0189
[C07, S2, A12], 支持個數為10 支持度:0.0472
[C07, S2, A13], 支持個數為3 支持度:0.0142
[C07, S2, A14], 支持個數為3 支持度:0.0142
[C07, S2, A15], 支持個數為0 支持度:0.0000
[C07, S2, A16], 支持個數為0 支持度:0.0000
[C11, S2, A09], 支持個數為0 支持度:0.0000
[C11, S2, A10], 支持個數為0 支持度:0.0000
[C11, S2, A11], 支持個數為1 支持度:0.0047
[C11, S2, A12], 支持個數為1 支持度:0.0047
[C11, S2, A13], 支持個數為0 支持度:0.0000
[C11, S2, A14], 支持個數為0 支持度:0.0000
[C11, S2, A15], 支持個數為0 支持度:0.0000
[C11, S2, A16], 支持個數為0 支持度:0.0000
[C12, S2, A09], 支持個數為0 支持度:0.0000
[C12, S2, A10], 支持個數為0 支持度:0.0000
[C12, S2, A11], 支持個數為1 支持度:0.0047
[C12, S2, A12], 支持個數為3 支持度:0.0142
[C12, S2, A13], 支持個數為2 支持度:0.0094
[C12, S2, A14], 支持個數為1 支持度:0.0047
[C12, S2, A15], 支持個數為0 支持度:0.0000
[C12, S2, A16], 支持個數為0 支持度:0.0000
[C31, S2, A09], 支持個數為1 支持度:0.0047
[C31, S2, A10], 支持個數為2 支持度:0.0094
[C31, S2, A11], 支持個數為1 支持度:0.0047
[C31, S2, A12], 支持個數為16 支持度:0.0755
[C31, S2, A13], 支持個數為15 支持度:0.0708
[C31, S2, A14], 支持個數為6 支持度:0.0283
[C31, S2, A15], 支持個數為1 支持度:0.0047
[C31, S2, A16], 支持個數為1 支持度:0.0047
[C32, S2, A09], 支持個數為0 支持度:0.0000
[C32, S2, A10], 支持個數為0 支持度:0.0000
[C32, S2, A11], 支持個數為1 支持度:0.0047
[C32, S2, A12], 支持個數為7 支持度:0.0330
[C32, S2, A13], 支持個數為17 支持度:0.0802
[C32, S2, A14], 支持個數為6 支持度:0.0283
[C32, S2, A15], 支持個數為0 支持度:0.0000
[C32, S2, A16], 支持個數為0 支持度:0.0000
[C33, S2, A09], 支持個數為0 支持度:0.0000
[C33, S2, A10], 支持個數為0 支持度:0.0000
[C33, S2, A11], 支持個數為1 支持度:0.0047
[C33, S2, A12], 支持個數為5 支持度:0.0236
[C33, S2, A13], 支持個數為1 支持度:0.0047
[C33, S2, A14], 支持個數為0 支持度:0.0000
[C33, S2, A15], 支持個數為0 支持度:0.0000
[C33, S2, A16], 支持個數為0 支持度:0.0000
[C34, S2, A09], 支持個數為0 支持度:0.0000
[C34, S2, A10], 支持個數為0 支持度:0.0000
[C34, S2, A11], 支持個數為1 支持度:0.0047
[C34, S2, A12], 支持個數為0 支持度:0.0000
[C34, S2, A13], 支持個數為1 支持度:0.0047
[C34, S2, A14], 支持個數為0 支持度:0.0000
[C34, S2, A15], 支持個數為0 支持度:0.0000
[C34, S2, A16], 支持個數為0 支持度:0.0000
[C35, S2, A09], 支持個數為0 支持度:0.0000
[C35, S2, A10], 支持個數為0 支持度:0.0000
[C35, S2, A11], 支持個數為2 支持度:0.0094
[C35, S2, A12], 支持個數為0 支持度:0.0000
[C35, S2, A13], 支持個數為2 支持度:0.0094
[C35, S2, A14], 支持個數為2 支持度:0.0094
[C35, S2, A15], 支持個數為1 支持度:0.0047
[C35, S2, A16], 支持個數為0 支持度:0.0000
[C37, S2, A09], 支持個數為0 支持度:0.0000
[C37, S2, A10], 支持個數為0 支持度:0.0000
[C37, S2, A11], 支持個數為3 支持度:0.0142
[C37, S2, A12], 支持個數為8 支持度:0.0377
[C37, S2, A13], 支持個數為3 支持度:0.0142
[C37, S2, A14], 支持個數為3 支持度:0.0142
[C37, S2, A15], 支持個數為0 支持度:0.0000
[C37, S2, A16], 支持個數為0 支持度:0.0000
[C38, S2, A09], 支持個數為0 支持度:0.0000
[C38, S2, A10], 支持個數為2 支持度:0.0094
[C38, S2, A11], 支持個數為1 支持度:0.0047
[C38, S2, A12], 支持個數為1 支持度:0.0047
[C38, S2, A13], 支持個數為1 支持度:0.0047
[C38, S2, A14], 支持個數為0 支持度:0.0000
[C38, S2, A15], 支持個數為0 支持度:0.0000
[C38, S2, A16], 支持個數為0 支持度:0.0000
[C39, S2, A09], 支持個數為0 支持度:0.0000
[C39, S2, A10], 支持個數為0 支持度:0.0000
[C39, S2, A11], 支持個數為1 支持度:0.0047
[C39, S2, A12], 支持個數為0 支持度:0.0000
[C39, S2, A13], 支持個數為1 支持度:0.0047
[C39, S2, A14], 支持個數為1 支持度:0.0047
[C39, S2, A15], 支持個數為0 支持度:0.0000
[C39, S2, A16], 支持個數為0 支持度:0.0000
[C40, S2, A09], 支持個數為0 支持度:0.0000
[C40, S2, A10], 支持個數為0 支持度:0.0000
[C40, S2, A11], 支持個數為0 支持度:0.0000
[C40, S2, A12], 支持個數為2 支持度:0.0094
[C40, S2, A13], 支持個數為0 支持度:0.0000
[C40, S2, A14], 支持個數為0 支持度:0.0000
[C40, S2, A15], 支持個數為0 支持度:0.0000
[C40, S2, A16], 支持個數為0 支持度:0.0000
[C43, S2, A09], 支持個數為0 支持度:0.0000
[C43, S2, A10], 支持個數為1 支持度:0.0047
[C43, S2, A11], 支持個數為1 支持度:0.0047
[C43, S2, A12], 支持個數為2 支持度:0.0094
[C43, S2, A13], 支持個數為3 支持度:0.0142
[C43, S2, A14], 支持個數為2 支持度:0.0094
[C43, S2, A15], 支持個數為0 支持度:0.0000
[C43, S2, A16], 支持個數為0 支持度:0.0000
[C44, S2, A09], 支持個數為0 支持度:0.0000
[C44, S2, A10], 支持個數為0 支持度:0.0000
[C44, S2, A11], 支持個數為0 支持度:0.0000
[C44, S2, A12], 支持個數為0 支持度:0.0000
[C44, S2, A13], 支持個數為1 支持度:0.0047
[C44, S2, A14], 支持個數為0 支持度:0.0000
[C44, S2, A15], 支持個數為0 支持度:0.0000
[C44, S2, A16], 支持個數為0 支持度:0.0000
[C45, S2, A09], 支持個數為0 支持度:0.0000
[C45, S2, A10], 支持個數為0 支持度:0.0000
[C45, S2, A11], 支持個數為0 支持度:0.0000
[C45, S2, A12], 支持個數為0 支持度:0.0000
[C45, S2, A13], 支持個數為3 支持度:0.0142
[C45, S2, A14], 支持個數為0 支持度:0.0000
[C45, S2, A15], 支持個數為0 支持度:0.0000
[C45, S2, A16], 支持個數為0 支持度:0.0000
[C46, S2, A09], 支持個數為0 支持度:0.0000
[C46, S2, A10], 支持個數為0 支持度:0.0000
[C46, S2, A11], 支持個數為0 支持度:0.0000
[C46, S2, A12], 支持個數為1 支持度:0.0047
[C46, S2, A13], 支持個數為0 支持度:0.0000
[C46, S2, A14], 支持個數為0 支持度:0.0000
[C46, S2, A15], 支持個數為1 支持度:0.0047
[C46, S2, A16], 支持個數為0 支持度:0.0000
